id,name,price
1,smoked salmon & scrambled eggs,3.99
2,big breakfast,4.99
3,halloumi breakfast,4.99
4,super scrambled eggs,3.99
5,eggs & bacon,2.99
6,bitesize breakfast,2.99
7,smashed avacado,2.5
8,breakfast omlette,2.5
9,breakfast baguette,2.99
10,breakfast sandwich,2.99
11,toast & topping,1.5
12,scottish oat porridge,0.99
13,toasted teacake & butter,1.5
14,fish fingers,2.99
15,kids sausage and mash,2.99
16,chicken nuggets,2.99
17,pasta bolognese,2.99
18,mac & cheese,2.99
19,cheese & tomato pizza,2.99
20,crunchy veg sticks,0.79
21,1/2 jacket potato,1.5
22,hot chicken baguette,3.99
23,omlette,2.5
24,sweet potato fries,1.49
25,chips,1.49
26,jacket potato,2.5
27,soup of the day,2.5
28,fresh salmon fillet,4.99
29,spicy bean burger,4.99
30,bigger breakfast,5.99
31,bigger halloumi breakfast,5.99
32,sweet potato katsu curry,4.99
33,steak and red wine gravy porridge,5.5
34,hand battered fish and chips,5.99
35,sausage and mash,4.99
36,cottage pie,4.99
37,beef lasagne,4.99
38,mediterranean vegetable lasagne,4.99
39,latte,2.15
40,flavoured latte,2.35
41,cappuccino,2.0
42,americano,2.15
43,flat white,2.15
44,cortado,2.15
45,mocha,2.15
46,esspresso,1.99
47,filter coffee,1.5
48,chai latte,1.99
49,hot chocolate,2.15
50,flavoured hot chocolate,2.35
51,luxury hot chocolate,2.75
52,tea,0.99
53,speciality tea,1.15
54,iced latte,2.15
55,frappe,2.75
56,smoothie,3.5
57,babyccino,0.5
58,milk,0.5
59,pepsi,1.35
60,pepsi max,1.35
61,j20 raspberry,1.5
62,j20 orange,1.5
63,fruit shoot,0.99
64,water,0.8
65,sprite,1.35
66,apple pie,1.99
67,ice cream,1.5
68,sticky toffee pudding,1.99
69,tiramissu,2.5
70,butter portion,0.5
71,honey,0.5
72,kettle crisps,0.85
